1	133	138	0	0	-6	3	5	35	69	50	71	71	73	87	72	41	104	79	106
3	128	180	0	0	-9	6	4	32	76	46	77	65	79	80	78	37	108	72	110
23	120	152	97	0	9	-2	3	43	57	53	57	66	57	75	57	48	85	69	85
459	296	377	48	0	6	6	-5	98	147	126	145	160	139	186	136	121	208	180	199
461	200	210	10	0	10	2	3	66	108	85	110	109	110	127	110	79	157	114	158
462	180	225	85	0	2	6	6	60	75	76	78	100	80	118	80	65	117	106	120
469	264	340	75	0	1	-4	-1	86	127	109	128	139	127	164	126	105	188	151	187
471	260	359	19	0	0	7	11	107	127	129	132	159	140	184	142	111	191	153	200
472	108	159	112	0	9	-6	12	40	63	51	66	66	69	77	69	44	94	62	97
474	132	171	116	0	8	4	10	46	62	58	65	76	68	88	68	49	95	76	99
477	128	178	286	73	2	5	16	48	73	59	76	73	82	83	84	48	98	72	106
504	228	253	0	0	9	-5	1	77	72	97	73	127	72	145	71	92	122	133	121
505	196	242	217	0	8	2	0	71	86	86	87	107	86	124	84	81	125	119	123
511	156	218	203	51	6	-1	-3	52	94	65	95	82	93	96	91	64	128	91	126
512	152	210	40	0	3	-8	1	53	87	67	88	83	88	97	87	59	119	92	119
519	116	162	419	69	-2	-9	1	38	70	48	70	61	70	72	68	44	94	68	93
536	152	176	75	0	-4	7	4	54	64	69	64	92	64	109	62	66	115	92	115
538	124	157	168	0	2	6	9	44	55	56	57	71	59	82	59	48	87	70	90
547	115	170	0	0	2	3	3	31	51	46	52	64	53	79	52	38	83	70	84
548	140	168	29	0	8	-6	2	47	56	60	57	77	57	89	56	56	91	80	91
553	112	156	145	80	6	-6	1	40	67	50	68	61	67	70	66	46	95	63	94
554	169	245	0	0	-3	-4	8	65	81	79	83	101	86	118	86	67	124	104	127
560	260	364	16	4	-3	-8	2	88	155	110	158	143	160	167	158	104	217	148	218
563	232	266	76	0	0	7	-10	76	134	98	130	122	122	144	115	104	182	140	174
570	268	374	92	43	0	1	-6	86	159	111	158	141	153	164	146	112	220	159	216
