14	368	502	187	0	-6	1	-6	117	200	152	201	203	193	236	185	161	295	223	286
19	124	149	223	0	-5	4	-11	38	53	49	50	64	46	76	42	54	80	77	74
28	160	190	0	410	7	3	9	48	91	63	94	84	98	97	98	53	131	85	135
30	152	212	280	76	4	-5	4	49	88	63	90	84	90	99	89	59	127	89	127
33	440	616	84	104	1	-1	-4	141	265	182	266	233	261	275	251	173	368	268	354
34	368	514	132	39	-9	5	5	122	216	156	219	200	219	236	218	133	300	215	302
41	180	252	216	36	0	-10	-2	53	106	75	108	104	106	124	102	75	166	111	163
42	332	396	190	0	12	10	15	121	113	151	122	191	136	217	139	124	197	183	210
44	204	226	0	0	0	-7	4	59	78	85	83	121	83	148	80	75	154	129	155
512	152	210	40	0	3	-8	1	53	87	67	88	83	88	97	87	59	119	92	119
547	115	170	0	0	2	3	3	31	51	46	52	64	53	79	52	38	83	70	84
548	140	168	29	0	8	-6	2	47	56	60	57	77	57	89	56	56	91	80	91
553	112	156	145	80	6	-6	1	40	67	50	68	61	67	70	66	46	95	63	94
2286	259	370	0	0	-1	-10	1	85	157	109	159	143	158	166	155	100	217	157	216
2519	116	162	69	0	1	-3	5	40	69	51	70	66	72	77	72	44	98	69	100
2586	204	240	14	0	-1	1	3	66	89	85	91	108	91	127	90	74	132	119	132
2591	236	205	74	0	-4	-4	1	77	72	98	73	126	72	148	70	87	121	139	120
3944	166	243	9	0	9	-7	-1	71	80	89	81	110	80	126	78	79	120	122	118
3951	152	186	9	0	-3	5	0	50	67	66	67	84	66	99	64	59	102	93	100
3993	124	172	577	150	4	4	1	41	71	53	73	66	72	78	71	50	104	69	104
3999	480	672	237	133	2	3	3	165	289	210	296	265	295	307	289	192	400	270	401
4000	452	632	80	81	8	0	2	154	279	194	279	247	274	285	268	179	380	265	373
4001	117	155	0	0	1	2	4	31	57	45	59	61	59	73	58	35	87	71	88
4019	136	190	332	100	8	10	2	51	82	65	83	80	83	92	82	60	117	86	117
4022	115	175	0	0	10	1	-1	33	74	51	74	72	72	88	71	44	114	83	111
4024	136	178	25	0	2	6	-1	46	72	58	73	74	73	87	71	54	101	81	100
5236	148	190	60	0	-8	-2	7	50	68	61	70	78	71	92	71	54	103	82	105
5498	115	175	0	0	-7	6	4	34	58	48	59	66	59	81	59	38	92	73	92
5502	180	219	25	0	1	-5	5	60	75	78	78	100	78	118	77	65	115	109	116
5504	152	212	139	14	-1	8	1	52	94	66	94	82	94	95	93	58	125	91	124
5505	268	328	28	0	-2	5	5	87	119	113	123	144	123	169	120	97	179	156	179
5984	115	175	0	0	2	-7	2	31	69	46	71	66	71	80	69	41	101	72	101
6401	270	405	0	0	-10	1	5	54	145	80	149	117	151	148	148	63	214	128	216
6403	110	154	0	0	0	-9	7	35	53	47	56	63	57	74	57	37	83	67	86
6406	350	474	0	0	-1	2	-5	108	180	141	181	188	178	226	167	142	263	216	252
6408	120	152	16	0	1	7	3	40	58	52	58	67	57	79	56	43	82	74	81
6409	184	216	2	0	-5	10	-1	62	71	79	71	101	68	119	66	77	115	107	112
6420	115	175	0	0	1	-1	3	30	67	46	69	65	69	81	68	39	106	72	107
6531	164	206	44	0	1	3	1	52	76	70	77	93	77	110	75	65	120	97	120
6762	168	221	120	0	-7	-3	-3	58	93	72	93	90	90	104	88	68	125	101	121
6764	152	212	18	81	-5	6	1	48	90	63	91	86	91	100	91	55	126	91	127
8967	208	290	416	89	-4	-8	0	62	121	84	122	113	121	136	117	82	176	118	174
8972	112	156	168	43	-10	-3	0	36	65	46	66	61	65	73	64	43	94	64	94
11477	144	178	191	0	-6	3	0	45	66	59	67	79	65	94	64	55	105	87	103
11480	144	200	9	11	-1	3	-1	49	90	62	90	79	85	93	82	57	124	89	119
11485	144	191	12	0	-4	4	-3	43	77	58	78	81	75	96	74	55	115	88	113
11486	188	250	53	0	6	5	8	63	94	83	98	108	101	125	102	64	136	114	142
11490	121	206	279	120	0	2	8	47	83	63	86	82	89	98	89	52	117	86	121
11521	120	154	163	0	-2	7	1	43	58	53	59	65	59	77	59	48	85	68	85
11522	228	282	602	0	-4	8	-2	75	112	98	110	127	107	152	103	98	172	142	168
11541	120	143	103	0	0	0	5	37	44	49	46	66	47	79	46	42	73	72	75
11583	172	221	91	0	3	-1	18	60	72	74	78	96	87	111	89	59	112	93	125
11585	140	154	9	0	-3	0	4	46	67	60	68	79	69	94	68	53	100	84	101
11603	124	172	855	247	3	7	1	39	73	51	74	67	74	79	73	47	99	72	99
11604	124	172	1099	340	3	7	1	40	73	52	74	68	74	80	73	49	100	73	100
11605	192	268	1123	277	6	7	3	65	113	84	115	110	117	130	117	75	156	115	158
11606	192	268	1335	386	4	5	1	62	114	81	116	106	116	124	114	75	155	113	155
11607	200	261	52	0	-2	-1	-1	65	100	84	101	109	99	129	97	77	143	123	139
